"submission_id","LoadT_main","LoadT_submit","age","assess","assignmentId","author","browser","chain","comments","deadend","description","education","endTime","enjoyment","experiment_id","familiar","gender","generation","languages","os","reproduction","startDate","startTime","story_text","story_title","timeSpent","trial_number","trial_type"
24,121,131,31,"Yes","3DOCMVPBTOMC92SKCCG3PTP23GYNNX","ЕК","Firefox","6gNjmYweql25zbNJ",NA,"false","IteratedNarration_Pilot06",3,1530889190518,2,"IteratedNarration_Pilot06","No","Male",2,"english","Windows","A couple in Iowa found beehives destroyed and smashed. Half a million bees died and two boys aged 12 and 13 were arrested for the crimes. Though they are minors, they got tried inb juvenile court where they could face a prison term of 10 years. They keep saying they're innocent and the evidence is bad.","Fri Jul 06 2018 07:56:54 GMT-0700 (Pacific Daylight Time)",1530889014633,"In December 2017 a couple in Iowa found that their beehives had been completely destroyed. They had been overturned and smashed. Tragically, the destruction of the beehives resulted in the death of half a million bees. Three weeks later two boys aged 12 and 13 were arrested for the crimes. Though minors, they will be tried in juvenile court where they could face a prison term of 10 years and fines up to $10,000 if found guilty. The boys insist they are innocent though, and the evidence against them is weak.","bees_free",2.93141666666667,1,"reproductionDemo"
24,422,131,31,"Yes","3DOCMVPBTOMC92SKCCG3PTP23GYNNX","ЕК","Firefox","hWTXpU08Xvvpgt8Y",NA,"true","IteratedNarration_Pilot06",3,1530889190518,2,"IteratedNarration_Pilot06","No","Male",4,"english","Windows","Philippines men are in jail for smuggling birds","Fri Jul 06 2018 07:56:54 GMT-0700 (Pacific Daylight Time)",1530889014633,"Phillipinian men can face jail time for smuggling in birds.","smuggler_jail",2.93141666666667,2,"reproductionDemo"
23,406,153,33,"Yes","3IGI0VL648SURNSWDRGG4IP7TQ3NOC","ЕК","Chrome","7FUXrJvKXqtsuAUI",NA,"false","IteratedNarration_Pilot06",2,1530889113407,2,"IteratedNarration_Pilot06","No","Female",3,"English","Windows","A bunch of birds were poached and held together with wire. The men who poached them will likely only have to pay a fine of about 8,000 dollars because the eyewitnesses are unreliable.","Fri Jul 06 2018 09:55:52 GMT-0500 (Central Daylight Time)",1530888952933,"Poachers are accused of stealing and illegally transporting about a quarter of a million dollars worth of exotic birds.  The birds were tied together with razor wire and crammed in together.  The men will likely get off.  Even if convicted they would only have to pay a small fraction of the value of the birds.. about 8,000 dollars.  It is unlikely they will even be convicted because eyewitness accounts are flimsy.  This is tragic.","smuggler_free",2.67456666666667,1,"reproductionDemo"
23,312,153,33,"Yes","3IGI0VL648SURNSWDRGG4IP7TQ3NOC","ЕК","Chrome","L3HwiUQSooF6kYu3",NA,"true","IteratedNarration_Pilot06",2,1530889113407,2,"IteratedNarration_Pilot06","No","Female",4,"English","Windows","The police arrested 2 boys because they killed bees.","Fri Jul 06 2018 09:55:52 GMT-0500 (Central Daylight Time)",1530888952933,"Two boys were arrested for killing bees.","bees_jail",2.67456666666667,2,"reproductionDemo"
22,416,385,20,"Yes","3KGTPGBS6YTTF6N0NUU5B0EY0H52UI","ЕК","Chrome","VO8FRtl8A6Zslj9q","none","false","IteratedNarration_Pilot06",2,1530889102321,1,"IteratedNarration_Pilot06","No","Female",2,"english","Windows","In Germany, a 37 year old man was arrested as a main suspect in an arson case with damages 450000 high. Without evidence, he was soon released.","Fri Jul 06 2018 09:54:35 GMT-0500 (Central Daylight Time)",1530888875316,"Someone had committed sever arson and cause 450000 in damages in Germany .a 37 year old man was arrested as a suspect but may not be convicted due to lack of evidence","arson_free",3.78341666666667,1,"reproductionDemo"
22,411,385,20,"Yes","3KGTPGBS6YTTF6N0NUU5B0EY0H52UI","ЕК","Chrome","hWTXpU08Xvvpgt8Y","none","false","IteratedNarration_Pilot06",2,1530889102321,1,"IteratedNarration_Pilot06","No","Female",3,"english","Windows","Phillipinian men can face jail time for smuggling in birds.","Fri Jul 06 2018 09:54:35 GMT-0500 (Central Daylight Time)",1530888875316,"Men from Philippines got arrested for smuggling birds and can face prison time and a fine","smuggler_jail",3.78341666666667,2,"reproductionDemo"
21,203,178,20,"Yes","34FNN24DCNH2VCQSFETSCSNNGF2Y58","ЕК","Chrome","rmkcXrVgcZWf7yGu","Very fun and interesting - thank you!","false","IteratedNarration_Pilot06",2,1530889038207,2,"IteratedNarration_Pilot06","No","Male",1,"English","Windows","In Indonesia, four men have been arrested for smuggling exotic birds into the United States. They stuffed approximately 150 birds into a pipe and tried to smuggle them in. The cost of them is roughly $250,000 and they are seen as a status symbol. The four men have some inconsistencies in their story, so their conviction seems likely.","Fri Jul 06 2018 10:53:14 GMT-0400 (Eastern Daylight Time)",1530888794198,"In Indonesia, four men have been arrested for smuggling about 150 exotic birds which were meant to be transported to the Philippines. The police found the animals stuffed into plastic drain pipes that were sealed at each end by a wire. In the US, this delivery is worth approximately $250,000. Those exotic birds are often illegally sold as pets and are seen as status symbols. Nearly one week after discovering the illegally captured birds, the police had managed to track down four men who are allegedly responsible for this act. According to police officials they had several eyewitness accounts which led to the arrests. The suspects face up to five years in prison and an up to $8000 fine if found guilty. The case rests on several eyewitness reports which provide a very strong case and there have been inconsistencies in the testimonies of the four suspects. Thus, a conviction seems likely.","smuggler_jail",4.06681666666667,1,"reproductionDemo"
21,175,178,20,"Yes","34FNN24DCNH2VCQSFETSCSNNGF2Y58","ЕК","Chrome","eCvBwwyXHAdnZGxw","Very fun and interesting - thank you!","false","IteratedNarration_Pilot06",2,1530889038207,2,"IteratedNarration_Pilot06","No","Male",3,"English","Windows","A $6,000 reward was offered to capture an extreme arson in Bavaria, Germany. He had been setting trash cans, cars, and even houses on fire. Police found pieces of a black t-shirt on the scene and have arrested but not convicted a suspect.","Fri Jul 06 2018 10:53:14 GMT-0400 (Eastern Daylight Time)",1530888794198,"In a region of Bavaria, Germany, there has been a rash of fires. There has been trash fires, car fires, and even house fires. The perpetrator has been hard to find. A $6000 reward was offered for information about the arsonist. One piece of evidence was a black tshirt found at the crime scene. Police eventually arrested a man for extreme arson. There were no details about how the man was arrested as the suspected criminal.","arson_jail",4.06681666666667,2,"reproductionDemo"
20,267,219,40,"Yes","3WMINLGALCBMYF14EI2KNCBQ55OACL","ЕК","Chrome","I3gEqq27bYmb0ylM",NA,"false","IteratedNarration_Pilot06",2,1530888862011,2,"IteratedNarration_Pilot06","No","Male",3,"English","Windows","There is arson going on. The police offer a $6,000 reward. The police have someone but they don't have enough evidence.","Fri Jul 06 2018 10:52:03 GMT-0400 (Eastern Daylight Time)",1530888723999,"There has been a long streak of arson. police are offering a $6000 reward for tips leading to the arrest of the arsonist. One man is being questioned but Police do not think they have enough evidence on him for an arrest.","arson_free",2.3002,1,"reproductionDemo"
20,61,219,40,"Yes","3WMINLGALCBMYF14EI2KNCBQ55OACL","ЕК","Chrome","vDX2GZkVbhvgztTq",NA,"false","IteratedNarration_Pilot06",2,1530888862011,2,"IteratedNarration_Pilot06","No","Male",3,"English","Windows","Four men are suspected of trafficking exotic birds. The evidence is just a eye witness which probably isn't enough.","Fri Jul 06 2018 10:52:03 GMT-0400 (Eastern Daylight Time)",1530888723999,"Four men have been arrested because suspected of trafficking exotic birds. There is no evidence against them, just the report of a tip made by an eyewitness, so they're unlikely to be convicted.","smuggler_free",2.3002,2,"reproductionDemo"
