id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-05-05 23:40:10.104538,,,,,,f,,debugRVCVW4,AssignmentSubmitted
2,2018-05-05 23:40:22.361548,,,,,,f,,debugV9TJMY,AssignmentSubmitted
