id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-05-05 23:39:56.915532,,,,,,f,,participant,1,debugRVCVW4,1:debugRVCVW4,OVY7HW,debug,2018-05-05 23:40:10.109799,1,0,approved
2,2018-05-05 23:40:14.149363,,,,,,f,,participant,2,debugV9TJMY,2:debugV9TJMY,I04INM,debug,2018-05-05 23:40:22.366175,1,0,approved
