id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-05-06 12:49:50.218441,,,,,,f,,debugNYP1ML,AssignmentSubmitted
2,2018-05-06 12:50:12.071484,,,,,,f,,debugRYSV2J,AssignmentSubmitted
