id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2018-05-06 12:49:30.115349,,,,,,f,,1,1,1,2,1,2018-05-06 12:49:30.122975,received
2,2018-05-06 12:49:56.819875,,,,,,f,,2,2,2,3,1,2018-05-06 12:49:56.826655,received
