id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-05-06 12:49:26.663773,,,,,,f,,participant,1,debugNYP1ML,1:debugNYP1ML,U4HA72,debug,2018-05-06 12:49:50.224325,1,0,approved
2,2018-05-06 12:49:54.012072,,,,,,f,,participant,2,debugRYSV2J,2:debugRYSV2J,F70RRW,debug,2018-05-06 12:50:12.075411,1,0,approved
