id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-05-06 12:35:06.85012,,,,,,f,,1,2,1
2,2018-05-06 12:35:25.148965,,,,,,f,,2,3,1
3,2018-05-06 12:35:42.463254,,,,,,f,,3,4,1
