id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-05-06 12:47:29.942942,,,,,,f,,debug3MCIJH,AssignmentSubmitted
2,2018-05-06 12:47:54.3466,,,,,,f,,debug8ZCADU,AssignmentSubmitted
