id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-05-06 12:47:11.730835,,,,,,f,,participant,1,debug3MCIJH,1:debug3MCIJH,J4OMF8,debug,2018-05-06 12:47:29.948715,1,0,approved
2,2018-05-06 12:47:34.976712,,,,,,f,,participant,2,debug8ZCADU,2:debug8ZCADU,CG1YZ6,debug,2018-05-06 12:47:54.350707,1,0,approved
