id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-05-06 12:37:51.500751,,,,,,f,,1,2,1
2,2018-05-06 12:38:08.808568,,,,,,f,,2,3,1
3,2018-05-06 12:38:25.139109,,,,,,f,,3,4,1
4,2018-05-06 12:38:47.633643,,,,,,f,,4,5,1
