id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-05-06 12:53:30.3468,,,,,,f,,participant,1,debugUSAFZ0,1:debugUSAFZ0,ICO7PO,debug,2018-05-06 12:53:53.454406,1,0,approved
2,2018-05-06 12:53:57.625487,,,,,,f,,participant,2,debugI5UTYG,2:debugI5UTYG,ORQJNB,debug,2018-05-06 12:54:20.941324,1,0,approved
