id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,network_id,participant_id
1,2018-05-06 12:53:22.864759,,,,,,f,,crime_reports_source,1,
2,2018-05-06 12:53:33.625782,,,,,,f,,node,1,1
3,2018-05-06 12:53:59.523915,,,,,,f,,node,1,2
