id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-05-06 12:53:53.44486,,,,,,f,,debugUSAFZ0,AssignmentSubmitted
2,2018-05-06 12:54:20.936835,,,,,,f,,debugI5UTYG,AssignmentSubmitted
