id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,origin_id,destination_id,network_id
1,2018-05-06 13:01:53.696837,,,,,,f,,1,2,1
2,2018-05-06 13:02:09.385579,,,,,,f,,2,3,1
