id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-05-06 13:02:03.381864,,,,,,f,,debug2D7OON,AssignmentSubmitted
2,2018-05-06 13:02:15.545639,,,,,,f,,debug4M9GBH,AssignmentSubmitted
