id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2018-05-06 13:01:50.484539,,,,,,f,,participant,1,debug2D7OON,1:debug2D7OON,PK25AN,debug,2018-05-06 13:02:03.38701,1,0,approved
2,2018-05-06 13:02:07.136898,,,,,,f,,participant,2,debug4M9GBH,2:debug4M9GBH,BFL2XB,debug,2018-05-06 13:02:15.549472,1,0,approved
