id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,assignment_id,event_type
1,2018-05-05 23:42:42.044538,,,,,,f,,debugMNLRXH,AssignmentSubmitted
2,2018-05-05 23:42:54.307004,,,,,,f,,debugDJAB53,AssignmentSubmitted
